Sample,Individual,Tooth,Specimen,Bulk_Intra,DistERJ,Site,Species,Cultural_Period,Cultural_Phase,Urban_Period,d18O,d13C
MSD_05h,MSD_05,M2,MSD_05_M2,Intra,9.06,MSDI,Bos indicus,MHar,MHar iii,Urban,-1.6,1.4
MSD_05i,MSD_05,M2,MSD_05_M2,Intra,6.63,MSDI,Bos indicus,MHar,MHar iii,Urban,-3.4,1.3
MSD_05j,MSD_05,M2,MSD_05_M2,Intra,3.71,MSDI,Bos indicus,MHar,MHar iii,Urban,-2.4,1.3
MSD_063_M2,MSD_063,M2,MSD_063_M2,Bulk,NA,MSDI,Capra/Ovis,MHar,MHar iii,Urban,2.3,-1.5
MSD_076_a,MSD_076,m3,MSD_076_m3,Intra,11,MSDI,Bubalus bubalis,MHar,MHar iii,Urban,0.2,3.7
MSD_076_b,MSD_076,m3,MSD_076_m3,Intra,8,MSDI,Bubalus bubalis,MHar,MHar iii,Urban,-0.4,3.8
MSD_076_c,MSD_076,m3,MSD_076_m3,Intra,5,MSDI,Bubalus bubalis,MHar,MHar iii,Urban,-0.7,4
MSD_077_a,MSD_077,m2,MSD_077_m2,Intra,9,MSDI,Boselaphus tragocamelus,MHar,MHar iii,Urban,0.6,3.3
MSD_077_b,MSD_077,m2,MSD_077_m2,Intra,7,MSDI,Boselaphus tragocamelus,MHar,MHar iii,Urban,1.4,3.9
MSD_077_c,MSD_077,m2,MSD_077_m2,Intra,4,MSDI,Boselaphus tragocamelus,MHar,MHar iii,Urban,0.7,4
MSD_077_d,MSD_077,m2,MSD_077_m2,Intra,2,MSDI,Boselaphus tragocamelus,MHar,MHar iii,Urban,0.3,4.3
MSD_089_bulk,MSD_089,M1/M2,MSD_089_M1/M2,Bulk,NA,MSDI,Bos indicus,MHar,MHar iii,Urban,0.4,3.5
MSD_092_a,MSD_092,M2,MSD_092_M2,Intra,20,MSDI,Bos indicus,MHar,MHar iii,Urban,2.9,2.4
MSD_092_c,MSD_092,M2,MSD_092_M2,Intra,16,MSDI,Bos indicus,MHar,MHar iii,Urban,2.6,2.7
MSD_092_d,MSD_092,M2,MSD_092_M2,Intra,13,MSDI,Bos indicus,MHar,MHar iii,Urban,1.1,3
MSD_092_e,MSD_092,M2,MSD_092_M2,Intra,10,MSDI,Bos indicus,MHar,MHar iii,Urban,1.6,3.4
MSD_092_f,MSD_092,M2,MSD_092_M2,Intra,7,MSDI,Bos indicus,MHar,MHar iii,Urban,1.6,3.9
MSD_092_g,MSD_092,M2,MSD_092_M2,Intra,5,MSDI,Bos indicus,MHar,MHar iii,Urban,2.1,3.9
MSD_101_M2_a,MSD_101,M2,MSD_101_M2,Intra,15,MSDI,Antilope cervicapra,MHar,MHar iii,Urban,1.2,-7.4
MSD_101_M2_b,MSD_101,M2,MSD_101_M2,Intra,12,MSDI,Antilope cervicapra,MHar,MHar iii,Urban,3,-8.6
MSD_101_M2_c,MSD_101,M2,MSD_101_M2,Intra,9,MSDI,Antilope cervicapra,MHar,MHar iii,Urban,4.5,-6.9
MSD_101_M2_d,MSD_101,M2,MSD_101_M2,Intra,5,MSDI,Antilope cervicapra,MHar,MHar iii,Urban,3.5,-3.8
MSD_101_M3_a,MSD_101,M3,MSD_101_M3,Intra,23,MSDI,Antilope cervicapra,MHar,MHar iii,Urban,-1,-1.5
MSD_101_M3_b,MSD_101,M3,MSD_101_M3,Intra,20,MSDI,Antilope cervicapra,MHar,MHar iii,Urban,-1.6,-1.7
MSD_101_M3_c,MSD_101,M3,MSD_101_M3,Intra,16,MSDI,Antilope cervicapra,MHar,MHar iii,Urban,0.4,-3
MSD_101_M3_d,MSD_101,M3,MSD_101_M3,Intra,13,MSDI,Antilope cervicapra,MHar,MHar iii,Urban,0.6,-3.3
MSD_101_M3_f,MSD_101,M3,MSD_101_M3,Intra,6,MSDI,Antilope cervicapra,MHar,MHar iii,Urban,3.8,-4.6
MSD_139_a,MSD_139,M2,MSD_139_M2,Intra,25,MSDI,Bos indicus,MHar,MHar ii ,Urban,1.4,3.2
MSD_139_b,MSD_139,M2,MSD_139_M2,Intra,21,MSDI,Bos indicus,MHar,MHar ii ,Urban,1.3,3.1
MSD_139_c,MSD_139,M2,MSD_139_M2,Intra,18,MSDI,Bos indicus,MHar,MHar ii ,Urban,3.4,3.2
MSD_139_d,MSD_139,M2,MSD_139_M2,Intra,15,MSDI,Bos indicus,MHar,MHar ii ,Urban,0.9,3.4
MSD_139_e,MSD_139,M2,MSD_139_M2,Intra,10,MSDI,Bos indicus,MHar,MHar ii ,Urban,-0.3,3.5
MSD_139_f,MSD_139,M2,MSD_139_M2,Intra,7,MSDI,Bos indicus,MHar,MHar ii ,Urban,-0.9,3.4
MSD_139_g,MSD_139,M2,MSD_139_M2,Intra,5,MSDI,Bos indicus,MHar,MHar ii ,Urban,-1.8,3.2
MSD_15_M1a,MSD_15,M1,MSD_15_M1,Intra,23.7,MSDVII,Capra hircus,MHar,MHar iii ,Urban,-1,1.7
MSD_15_M1b,MSD_15,M1,MSD_15_M1,Intra,21,MSDVII,Capra hircus,MHar,MHar iii ,Urban,-2.4,1.1
MSD_15_M1c,MSD_15,M1,MSD_15_M1,Intra,18.8,MSDVII,Capra hircus,MHar,MHar iii ,Urban,-0.5,1.1
MSD_15_M1d,MSD_15,M1,MSD_15_M1,Intra,16.3,MSDVII,Capra hircus,MHar,MHar iii ,Urban,-0.2,0.6
MSD_15_M1e,MSD_15,M1,MSD_15_M1,Intra,13.4,MSDVII,Capra hircus,MHar,MHar iii ,Urban,0.3,-0.3
MSD_15_M1f,MSD_15,M1,MSD_15_M1,Intra,11.3,MSDVII,Capra hircus,MHar,MHar iii ,Urban,0.7,-0.7
MSD_15_M1g,MSD_15,M1,MSD_15_M1,Intra,9.1,MSDVII,Capra hircus,MHar,MHar iii ,Urban,0.9,-0.9
MSD_15_M1h,MSD_15,M1,MSD_15_M1,Intra,6.4,MSDVII,Capra hircus,MHar,MHar iii ,Urban,1.2,0
MSD_15_M1i,MSD_15,M1,MSD_15_M1,Intra,3.9,MSDVII,Capra hircus,MHar,MHar iii ,Urban,2.4,1.1
MSD_155_bulk,MSD_155,M1/M2,MSD_155_M1/M2,Bulk,NA,MSDI,Bos indicus,MHar,MHar iii ,Urban,1.3,3.6
MSD_156_bulk,MSD_156,M2,MSD_156_M2,Bulk,NA,MSDI,Bos indicus,MHar,MHar iii ,Urban,-2,3.4
MSD_175_a,MSD_175,M2,MSD_175_M2,Intra,46,MSDVII,Bubalus bubalis,LHar,ELHar,Post-urban,-0.3,3.2
MSD_175_b,MSD_175,M2,MSD_175_M2,Intra,43,MSDVII,Bubalus bubalis,LHar,ELHar,Post-urban,0.8,3
MSD_175_c,MSD_175,M2,MSD_175_M2,Intra,39,MSDVII,Bubalus bubalis,LHar,ELHar,Post-urban,-0.4,2.8
MSD_175_d,MSD_175,M2,MSD_175_M2,Intra,35,MSDVII,Bubalus bubalis,LHar,ELHar,Post-urban,0.2,2.6
MSD_175_e,MSD_175,M2,MSD_175_M2,Intra,31,MSDVII,Bubalus bubalis,LHar,ELHar,Post-urban,0.6,2.6
MSD_175_f,MSD_175,M2,MSD_175_M2,Intra,28,MSDVII,Bubalus bubalis,LHar,ELHar,Post-urban,0.8,2.8
MSD_175_g,MSD_175,M2,MSD_175_M2,Intra,24,MSDVII,Bubalus bubalis,LHar,ELHar,Post-urban,0.3,3.1
MSD_175_h,MSD_175,M2,MSD_175_M2,Intra,20,MSDVII,Bubalus bubalis,LHar,ELHar,Post-urban,-1,3.3
MSD_175_i,MSD_175,M2,MSD_175_M2,Intra,16,MSDVII,Bubalus bubalis,LHar,ELHar,Post-urban,-1.9,2.7
MSD_175_j,MSD_175,M2,MSD_175_M2,Intra,12,MSDVII,Bubalus bubalis,LHar,ELHar,Post-urban,-1.9,2.4
MSD_175_k,MSD_175,M2,MSD_175_M2,Intra,6,MSDVII,Bubalus bubalis,LHar,ELHar,Post-urban,-2.2,1.8
MSD_175_l,MSD_175,M2,MSD_175_M2,Intra,4,MSDVII,Bubalus bubalis,LHar,ELHar,Post-urban,-1.1,1.2
MSD_176_bulk,MSD_176,M1/M2,MSD_176_M1/M2,Bulk,NA,MSDVII,Antilope cervicapra,LHar,ELHar,Post-urban,-1.2,-3.4
MSD_177_a,MSD_177,M2,MSD_177_M2,Intra,12,MSDVII,Bubalus bubalis,LHar,ELHar,Post-urban,0.5,3.7
MSD_177_b,MSD_177,M2,MSD_177_M2,Intra,15,MSDVII,Bubalus bubalis,LHar,ELHar,Post-urban,2.4,3.5
MSD_177_c,MSD_177,M2,MSD_177_M2,Intra,18,MSDVII,Bubalus bubalis,LHar,ELHar,Post-urban,2.8,3.5
MSD_177_d,MSD_177,M2,MSD_177_M2,Intra,21,MSDVII,Bubalus bubalis,LHar,ELHar,Post-urban,3.1,3.5
MSD_177_e,MSD_177,M2,MSD_177_M2,Intra,25,MSDVII,Bubalus bubalis,LHar,ELHar,Post-urban,1.8,3.6
MSD_177_f,MSD_177,M2,MSD_177_M2,Intra,27,MSDVII,Bubalus bubalis,LHar,ELHar,Post-urban,2.3,3.7
MSD_177_g,MSD_177,M2,MSD_177_M2,Intra,30,MSDVII,Bubalus bubalis,LHar,ELHar,Post-urban,0.9,3.9
MSD_177_h,MSD_177,M2,MSD_177_M2,Intra,34,MSDVII,Bubalus bubalis,LHar,ELHar,Post-urban,-0.6,4.1
MSD_177_i,MSD_177,M2,MSD_177_M2,Intra,37,MSDVII,Bubalus bubalis,LHar,ELHar,Post-urban,-0.6,4.3
MSD_177_j,MSD_177,M2,MSD_177_M2,Intra,40,MSDVII,Bubalus bubalis,LHar,ELHar,Post-urban,-0.7,4.4
MSD_177_k,MSD_177,M2,MSD_177_M2,Intra,44,MSDVII,Bubalus bubalis,LHar,ELHar,Post-urban,-1.2,4.3
MSD_191_a,MSD_191,M2,MSD_191_M2,Intra,19,MSDVII,Capra hircus,LHar,ELHar,Post-urban,2.5,-4.2
MSD_191_b,MSD_191,M2,MSD_191_M2,Intra,15,MSDVII,Capra hircus,LHar,ELHar,Post-urban,4.6,-1.9
MSD_191_c,MSD_191,M2,MSD_191_M2,Intra,13,MSDVII,Capra hircus,LHar,ELHar,Post-urban,4.9,0.1
MSD_191_d,MSD_191,M2,MSD_191_M2,Intra,10,MSDVII,Capra hircus,LHar,ELHar,Post-urban,1.1,0.5
MSD_191_e,MSD_191,M2,MSD_191_M2,Intra,5,MSDVII,Capra hircus,LHar,ELHar,Post-urban,-1.2,-1.2
MSD_5115_M2_a,MSD_5115,M2,MSD_5115_M2,Intra,6,MSDVII,Bos indicus,LHar,ELHar,Post-urban,2.8,3.3
MSD_5115_M2_b,MSD_5115,M2,MSD_5115_M2,Intra,2,MSDVII,Bos indicus,LHar,ELHar,Post-urban,2.6,3.5
MSD_5115_M3_a,MSD_5115,M3,MSD_5115_M3,Intra,16,MSDVII,Bos indicus,LHar,ELHar,Post-urban,2.6,2.4
MSD_5115_M3_b,MSD_5115,M3,MSD_5115_M3,Intra,11,MSDVII,Bos indicus,LHar,ELHar,Post-urban,3.5,2.3
MSD_5115_M3_c,MSD_5115,M3,MSD_5115_M3,Intra,6,MSDVII,Bos indicus,LHar,ELHar,Post-urban,5.7,2.2
MSD_5115_M3_d,MSD_5115,M3,MSD_5115_M3,Intra,2,MSDVII,Bos indicus,LHar,ELHar,Post-urban,5.4,2.3
MSD_5117_M3_a,MSD_5117,M3,MSD_5117_M3,Intra,9,MSDVII,Bos indicus,LHar,ELHar,Post-urban,-0.6,3.9
MSD_5117_M3_b,MSD_5117,M3,MSD_5117_M3,Intra,6,MSDVII,Bos indicus,LHar,ELHar,Post-urban,-1,3.8
MSD_5118_a,MSD_5118,M3,MSD_5118_M3,Intra,42,MSDVII,Bos indicus,LHar,ELHar,Post-urban,-0.4,3.9
MSD_5118_b,MSD_5118,M3,MSD_5118_M3,Intra,38,MSDVII,Bos indicus,LHar,ELHar,Post-urban,0.8,3.8
MSD_5118_c,MSD_5118,M3,MSD_5118_M3,Intra,34,MSDVII,Bos indicus,LHar,ELHar,Post-urban,0.8,3.7
MSD_5118_d,MSD_5118,M3,MSD_5118_M3,Intra,30,MSDVII,Bos indicus,LHar,ELHar,Post-urban,0.8,4
MSD_5118_e,MSD_5118,M3,MSD_5118_M3,Intra,27,MSDVII,Bos indicus,LHar,ELHar,Post-urban,-0.5,4.1
MSD_5118_f,MSD_5118,M3,MSD_5118_M3,Intra,24,MSDVII,Bos indicus,LHar,ELHar,Post-urban,-0.5,4.3
MSD_5118_g,MSD_5118,M3,MSD_5118_M3,Intra,20,MSDVII,Bos indicus,LHar,ELHar,Post-urban,-1.3,4.6
MSD_5118_h,MSD_5118,M3,MSD_5118_M3,Intra,16,MSDVII,Bos indicus,LHar,ELHar,Post-urban,-1.4,3.9
MSD_5118_i,MSD_5118,M3,MSD_5118_M3,Intra,12,MSDVII,Bos indicus,LHar,ELHar,Post-urban,-1.4,4
MSD_5118_j,MSD_5118,M3,MSD_5118_M3,Intra,5,MSDVII,Bos indicus,LHar,ELHar,Post-urban,0.7,3.8
MSD_5121_a,MSD_5121,M2,MSD_5121_M2,Intra,17,MSDVII,Bos indicus,LHar,ELHar,Post-urban,1.1,3.9
MSD_5121_b,MSD_5121,M2,MSD_5121_M2,Intra,14,MSDVII,Bos indicus,LHar,ELHar,Post-urban,1.4,4.2
MSD_5121_c,MSD_5121,M2,MSD_5121_M2,Intra,11,MSDVII,Bos indicus,LHar,ELHar,Post-urban,2.2,4.2
MSD_5121_d,MSD_5121,M2,MSD_5121_M2,Intra,7,MSDVII,Bos indicus,LHar,ELHar,Post-urban,2.2,4.1
MSD_5121_e,MSD_5121,M2,MSD_5121_M2,Intra,3,MSDVII,Bos indicus,LHar,ELHar,Post-urban,4,4
MSD_5125_a,MSD_5125,m3,MSD_5125_m3,Intra,30,MSDVII,Bos indicus,LHar,ELHar,Post-urban,2.4,-1
MSD_5125_b,MSD_5125,m3,MSD_5125_m3,Intra,23.5,MSDVII,Bos indicus,LHar,ELHar,Post-urban,3.5,0.9
MSD_5125_c,MSD_5125,m3,MSD_5125_m3,Intra,14.5,MSDVII,Bos indicus,LHar,ELHar,Post-urban,-0.4,0.9
MSD_5125_d,MSD_5125,m3,MSD_5125_m3,Intra,5,MSDVII,Bos indicus,LHar,ELHar,Post-urban,-0.3,-0.4
MSD_5126_a,MSD_5126,M3,MSD_5126_M3,Intra,27,MSDVII,Bos indicus,LHar,ELHar,Post-urban,-0.6,3.6
MSD_5126_c,MSD_5126,M3,MSD_5126_M3,Intra,19,MSDVII,Bos indicus,LHar,ELHar,Post-urban,0.7,3.7
MSD_5126_d,MSD_5126,M3,MSD_5126_M3,Intra,15,MSDVII,Bos indicus,LHar,ELHar,Post-urban,0.2,3.6
MSD_5126_e,MSD_5126,M3,MSD_5126_M3,Intra,12,MSDVII,Bos indicus,LHar,ELHar,Post-urban,0.4,3.6
MSD_5126_f,MSD_5126,M3,MSD_5126_M3,Intra,7,MSDVII,Bos indicus,LHar,ELHar,Post-urban,-1.1,3.6
MSD_5126_g,MSD_5126,M3,MSD_5126_M3,Intra,30,MSDVII,Bos indicus,LHar,ELHar,Post-urban,-1.4,4
MSD_5146_M12_a,MSD_5146a,M1/M2,MSD_5146_M1/M2,Intra,12,MSDVII,Bos indicus,LHar,ELHar,Post-urban,-1.5,1.5
MSD_5146_M12_b,MSD_5146a,M1/M2,MSD_5146_M1/M2,Intra,6,MSDVII,Bos indicus,LHar,ELHar,Post-urban,-1.4,1
MSD_5146_M12_c,MSD_5146a,M1/M2,MSD_5146_M1/M2,Intra,3,MSDVII,Bos indicus,LHar,ELHar,Post-urban,-0.3,3.1
MSD_5146_M2_a,MSD_5146b,M2,MSD_5146_M2,Intra,48,MSDVII,Bos indicus,LHar,ELHar,Post-urban,-1.4,0.7
MSD_5146_M2_b,MSD_5146b,M2,MSD_5146_M2,Intra,44,MSDVII,Bos indicus,LHar,ELHar,Post-urban,1.4,1.2
MSD_5146_M2_c,MSD_5146b,M2,MSD_5146_M2,Intra,40,MSDVII,Bos indicus,LHar,ELHar,Post-urban,2.4,1.3
MSD_5146_M2_d,MSD_5146b,M2,MSD_5146_M2,Intra,36,MSDVII,Bos indicus,LHar,ELHar,Post-urban,2.6,1.9
MSD_5146_M2_f,MSD_5146b,M2,MSD_5146_M2,Intra,26,MSDVII,Bos indicus,LHar,ELHar,Post-urban,2,2.7
MSD_5146_M2_g,MSD_5146b,M2,MSD_5146_M2,Intra,23,MSDVII,Bos indicus,LHar,ELHar,Post-urban,0.8,2.4
MSD_5146_M2_h,MSD_5146b,M2,MSD_5146_M2,Intra,18,MSDVII,Bos indicus,LHar,ELHar,Post-urban,0.9,3.3
MSD_5146_M2_i,MSD_5146b,M2,MSD_5146_M2,Intra,12,MSDVII,Bos indicus,LHar,ELHar,Post-urban,-1.3,3.7
MSD_5146_M2_j,MSD_5146b,M2,MSD_5146_M2,Intra,6,MSDVII,Bos indicus,LHar,ELHar,Post-urban,-1.6,4.1
MSD_5153_a,MSD_5153,M2,MSD_5153_M2,Intra,26,MSDVII,Bos indicus,LHar,ELHar,Post-urban,1,3.3
MSD_5153_b,MSD_5153,M2,MSD_5153_M2,Intra,21,MSDVII,Bos indicus,LHar,ELHar,Post-urban,2.4,3.2
MSD_5153_d,MSD_5153,M2,MSD_5153_M2,Intra,13.5,MSDVII,Bos indicus,LHar,ELHar,Post-urban,1.1,3.5
MSD_5153_e,MSD_5153,M2,MSD_5153_M2,Intra,8.5,MSDVII,Bos indicus,LHar,ELHar,Post-urban,-0.3,3.6
MSD_5153_f,MSD_5153,M2,MSD_5153_M2,Intra,4,MSDVII,Bos indicus,LHar,ELHar,Post-urban,0.5,3.5
MSD_NN010_a,MSD_NN010,M3,MSD_NN010_M3,Intra,44,MSDI,Bos indicus,MHar,MHar iii ,Urban,-1.3,3
MSD_NN010_b,MSD_NN010,M3,MSD_NN010_M3,Intra,40,MSDI,Bos indicus,MHar,MHar iii ,Urban,-1.4,3.4
MSD_NN010_c,MSD_NN010,M3,MSD_NN010_M3,Intra,37,MSDI,Bos indicus,MHar,MHar iii ,Urban,-0.8,3.6
MSD_NN010_d,MSD_NN010,M3,MSD_NN010_M3,Intra,34,MSDI,Bos indicus,MHar,MHar iii ,Urban,-1.7,3.8
MSD_NN010_e,MSD_NN010,M3,MSD_NN010_M3,Intra,30,MSDI,Bos indicus,MHar,MHar iii ,Urban,-1.8,3.6
MSD_NN010_f,MSD_NN010,M3,MSD_NN010_M3,Intra,27,MSDI,Bos indicus,MHar,MHar iii ,Urban,-1.9,3.6
MSD_NN010_g,MSD_NN010,M3,MSD_NN010_M3,Intra,25,MSDI,Bos indicus,MHar,MHar iii ,Urban,-1.7,3.8
MSD_NN010_h,MSD_NN010,M3,MSD_NN010_M3,Intra,21,MSDI,Bos indicus,MHar,MHar iii ,Urban,-1.8,3.3
MSD_NN010_i,MSD_NN010,M3,MSD_NN010_M3,Intra,18,MSDI,Bos indicus,MHar,MHar iii ,Urban,-0.8,4
MSD_NN010_j,MSD_NN010,M3,MSD_NN010_M3,Intra,15,MSDI,Bos indicus,MHar,MHar iii ,Urban,-0.1,3.7
MSD_NN010_k,MSD_NN010,M3,MSD_NN010_M3,Intra,12,MSDI,Bos indicus,MHar,MHar iii ,Urban,-0.4,3.8
MSD_NN012_b,MSD_NN012,M3,MSD_NN012_M3,Intra,31,MSDI,Antilope cervicapra,MHar,MHar iii ,Urban,0.1,-1
MSD_NN012_c,MSD_NN012,M3,MSD_NN012_M3,Intra,29,MSDI,Antilope cervicapra,MHar,MHar iii ,Urban,-0.2,-1.5
MSD_NN012_d,MSD_NN012,M3,MSD_NN012_M3,Intra,26,MSDI,Antilope cervicapra,MHar,MHar iii ,Urban,-0.4,-1.9
MSD_NN012_e,MSD_NN012,M3,MSD_NN012_M3,Intra,23,MSDI,Antilope cervicapra,MHar,MHar iii ,Urban,-0.4,-2.7
MSD_NN012_f,MSD_NN012,M3,MSD_NN012_M3,Intra,19,MSDI,Antilope cervicapra,MHar,MHar iii ,Urban,-0.8,-3
MSD_NN012_g,MSD_NN012,M3,MSD_NN012_M3,Intra,16,MSDI,Antilope cervicapra,MHar,MHar iii ,Urban,0.6,-3.4
MSD_NN012_i,MSD_NN012,M3,MSD_NN012_M3,Intra,10,MSDI,Antilope cervicapra,MHar,MHar iii ,Urban,0.9,-1.6
MSD_NN013_a,MSD_NN013,M2,MSD_NN013_M2,Intra,32,MSDI,Bos indicus,MHar,MHar iii ,Urban,2.5,-1.1
MSD_NN013_b,MSD_NN013,M2,MSD_NN013_M2,Intra,29,MSDI,Bos indicus,MHar,MHar iii ,Urban,2.4,-0.6
MSD_NN013_c,MSD_NN013,M2,MSD_NN013_M2,Intra,26,MSDI,Bos indicus,MHar,MHar iii ,Urban,2.2,-0.1
MSD_NN013_d,MSD_NN013,M2,MSD_NN013_M2,Intra,23,MSDI,Bos indicus,MHar,MHar iii ,Urban,1.8,-0.1
MSD_NN013_e,MSD_NN013,M2,MSD_NN013_M2,Intra,21,MSDI,Bos indicus,MHar,MHar iii ,Urban,3.4,-0.3
MSD_NN013_f,MSD_NN013,M2,MSD_NN013_M2,Intra,17,MSDI,Bos indicus,MHar,MHar iii ,Urban,3.8,0.1
MSD_NN013_g,MSD_NN013,M2,MSD_NN013_M2,Intra,12,MSDI,Bos indicus,MHar,MHar iii ,Urban,3.4,0.2
MSD_NN013_h,MSD_NN013,M2,MSD_NN013_M2,Intra,14,MSDI,Bos indicus,MHar,MHar iii ,Urban,4.6,0.3
MSD031_M1,MSD_031,M1,MSD_031_M1,Bulk,NA,MSDI,Sus scrofa,MHar,MHar iii ,Urban,-2.8,-4.8
MSD125_M1,MSD_125,M1,MSD_125_M1,Bulk,NA,MSDI,Sus domesticus,MHar,MHar iii ,Urban,1.3,-8.5
MSD5145_M3,MSD_5145,M3,MSD_5145_M3,Bulk,NA,MSDVII,Sus scrofa,LHar,ELHar,Post-urban,0,-5.7